nombre_estudiante,nota_1,nota_2,nota_3,promedio,estado
Valentina Torres,4.8,1.2,2.7,2.9,Reprobado
Matías Rojas,2.3,5.4,5.1,4.3,Aprobado
Isidora Fuentes,6.4,1.5,3.5,3.8,Reprobado
Benjamín Muñoz,1.2,2.3,4.0,2.5,Reprobado
Camila Soto,1.2,2.2,4.9,2.8,Reprobado
Diego Herrera,4.3,2.3,4.5,3.7,Reprobado
Sofía Castro,5.9,1.0,5.8,4.2,Aprobado
Nicolás Vargas,5.2,3.0,1.9,3.4,Reprobado
Javiera Morales,6.7,3.0,1.6,3.8,Reprobado
Felipe Navarro,1.6,6.1,4.6,4.1,Aprobado
Constanza Pérez,5.8,5.4,4.2,5.1,Aprobado
Sebastián Díaz,6.8,3.3,4.3,4.8,Aprobado
Daniela Ramírez,6.0,4.7,6.2,5.6,Aprobado
Andrés González,4.5,5.2,1.3,3.7,Reprobado
Fernanda López,2.4,2.7,1.5,2.2,Reprobado
Tomás Martínez,2.4,1.6,2.7,2.2,Reprobado
Antonia Flores,4.8,3.2,3.2,3.7,Reprobado
Ignacio Jiménez,2.3,2.6,6.6,3.8,Reprobado
Catalina Reyes,4.9,4.7,2.0,3.9,Reprobado
Pablo Álvarez,5.4,2.0,3.3,3.6,Reprobado
